Date,Predicted
2017-04-13,41917.47192
2017-04-14,41979.44368
2017-04-17,41944.85834
2017-04-18,41883.25627
2017-04-19,42024.53375
2017-04-20,42011.34524
2017-04-21,41919.55769
2017-04-24,41918.34166
2017-04-25,41841.57746
2017-04-26,41898.45829
2017-04-27,42111.60419
2017-04-28,42127.32365
2017-05-02,42116.65794
2017-05-04,42121.5786
2017-05-08,42025.47967
2017-05-10,42098.01621
2017-05-11,42206.65756
2017-05-12,42127.1897
2017-05-15,42111.476
2017-05-16,42098.56597
2017-05-17,42071.01317
2017-05-18,42244.82811
2017-05-19,42341.83581
2017-05-22,42275.46842
2017-05-23,42276.92439
2017-05-24,42218.89083
2017-05-25,42205.9911
2017-05-26,42358.58386
2017-05-29,42363.18431
2017-05-30,42296.34627
2017-05-31,42314.77934
2017-06-01,42277.1994
2017-06-02,42356.5164
2017-06-05,42517.13503
2017-06-07,42476.33744
2017-06-08,42424.2157
2017-06-09,42416.23398
2017-06-12,42367.55398
2017-06-13,42477.94448
2017-06-14,42581.77021
2017-06-15,42507.2289
2017-06-16,42492.7614
2017-06-19,42491.38748
2017-06-20,42494.11076
2017-06-21,42646.46363
2017-06-22,42690.53964
2017-06-23,42597.76348
2017-06-26,42590.11876
2017-06-27,42565.69761
2017-06-28,42603.64823
2017-06-29,42753.1926
2017-06-30,42739.13076
2017-07-03,42667.31407
2017-07-04,42682.76155
2017-07-05,42670.48645
2017-07-06,42759.43135
2017-07-07,42878.40651
2017-07-10,42808.56166
2017-07-11,42753.06543
2017-07-12,42763.09202
2017-07-13,42763.11883
2017-07-14,42886.41157
2017-07-17,42958.58791
2017-07-18,42868.43416
2017-07-19,42849.62135
2017-07-20,42862.54555
2017-07-21,42893.04209
2017-07-24,43026.14365
2017-07-25,43032.93611
2017-07-26,42934.92749
2017-07-27,42938.36541
2017-07-28,42949.59038
2017-07-31,43016.18882
2017-08-01,43138.70589
2017-08-02,43093.90247
2017-08-03,43018.10849
2017-08-04,43041.75197
2017-08-07,43059.152
2017-08-08,43154.0895
2017-08-09,43235.71451
2017-08-10,43148.42152
2017-08-11,43102.35682
2017-08-14,43135.57493
2017-08-16,43169.32678
2017-08-17,43283.45789
2017-08-18,43314.98662
2017-08-21,43213.41463
2017-08-22,43203.3537
2017-08-23,43239.91606
2017-08-24,43293.05547
2017-08-25,43401.74937
2017-08-28,43376.19722
2017-08-29,43281.85918
2017-08-30,43303.49831
2017-08-31,43344.01752
2017-09-01,43420.29738
2017-09-04,43505.59176
2017-09-05,43434.92106
2017-09-06,43367.73873
2017-09-07,43411.1677
2017-09-08,43455.52128
2017-09-11,43545.36883
2017-09-12,43588.21508
2017-09-13,43490.56022
2017-09-14,43461.93942
2017-09-15,43518.99522
2017-09-18,43572.77408
2017-09-19,43664.77642
2017-09-20,43658.29611
2017-09-21,43557.10353
2017-09-22,43567.64582
2017-09-25,43628.932
2017-09-26,43692.31643
2017-09-27,43768.85062
2017-09-28,43716.04728
2017-09-29,43634.28452
2017-10-10,43679.10852
2017-10-11,43741.51515
2017-10-12,43813.13658
2017-10-13,43859.02417
2017-10-16,43773.02058
2017-10-17,43726.18487
2017-10-18,43793.61061
2017-10-19,43854.97821
2017-10-20,43927.2858
2017-10-23,43932.6544
2017-10-24,43834.38645
2017-10-25,43830.79419
2017-10-26,43909.7698
2017-10-27,43970.59109
2017-10-30,44032.73906
2017-10-31,43995.81774
2017-11-01,43907.08539
2017-11-02,43944.55824
2017-11-03,44024.6779
2017-11-06,44084.23273
2017-11-07,44124.59559
2017-11-08,44053.81973
2017-11-09,43994.3894
2017-11-10,44064.39601
2017-11-13,44139.04523
2017-11-14,44194.34967
2017-11-15,44203.33754
2017-11-16,44114.17777
2017-11-17,44095.97243
2017-11-20,44185.31331
2017-11-21,44250.96587
2017-11-22,44296.69178
2017-11-23,44270.97366
2017-11-24,44183.76689
2017-11-27,44210.18366
2017-11-28,44305.17976
2017-11-29,44360.24018
2017-11-30,44389.07905
2017-12-01,44332.31071
2017-12-04,44266.61262
2017-12-05,44332.11741
2017-12-06,44421.25044
2017-12-07,44464.92646
2017-12-08,44470.52013
2017-12-11,44394.05066
2017-12-12,44364.93571
2017-12-13,44457.51951
2017-12-14,44532.75401
2017-12-15,44563.33441
2017-12-18,44542.11437
2017-12-19,44462.28269
2017-12-20,44477.01334
2017-12-21,44581.56786
2017-12-22,44638.88142
2017-12-26,44653.96819
2017-12-27,44607.64575
2017-12-28,44542.52106
2018-01-02,44599.49613
2018-01-03,44701.01391
2018-01-04,44739.1518
2018-01-05,44735.9883
2018-01-08,44672.0258
2018-01-09,44637.28896
2018-01-10,44727.1559
2018-01-11,44813.70677
2018-01-12,44833.21981
2018-01-15,44810.39264
2018-01-16,44741.25235
2018-01-17,44746.66415
2018-01-18,44854.72944
2018-01-19,44918.67848
2018-01-22,44920.62345
2018-01-23,44879.52238
2018-01-24,44820.33442
2018-01-25,44867.80862
2018-01-26,44977.64402
2018-01-29,45015.99889
2018-01-30,45001.60071
2018-01-31,44947.48127
2018-02-01,44912.72132
2018-02-02,44996.00133
2018-02-05,45092.62725
2018-02-06,45106.10062
2018-02-07,45076.97776
2018-02-08,45018.99204
2018-02-09,45019.27224
2018-02-12,45125.6666
2018-02-13,45198.14604
2018-02-14,45189.91209
2018-02-19,45148.8129
2018-02-20,45098.70602
2018-02-21,45138.18334
2018-02-22,45251.39236
2018-02-23,45294.0237
2018-02-26,45268.5019
2018-02-27,45220.13359
2018-02-28,45190.06363
2018-03-02,45265.45229
2018-03-05,45369.03231
2018-03-06,45381.32414
2018-03-07,45343.38589
2018-03-08,45294.70283
2018-03-09,45294.48041
2018-03-12,45395.64262
2018-03-13,45476.08739
2018-03-14,45461.76111
2018-03-15,45416.54015
2018-03-16,45376.33783
2018-03-19,45411.0212
2018-03-20,45523.11462
2018-03-21,45571.98589
2018-03-22,45537.46402
2018-03-23,45490.48357
2018-03-26,45468.07299
2018-03-27,45536.44209
2018-03-28,45642.97881
2018-03-29,45657.76374
2018-03-30,45610.71973
2018-04-02,45568.13463
2018-04-03,45571.47272
2018-04-04,45665.89722
2018-04-05,45751.98026
2018-04-06,45735.66286
2018-04-09,45683.88873
2018-04-10,45652.39826
2018-04-11,45686.08504
2018-04-12,45793.82972
2018-04-13,45848.85586
2018-04-16,45808.59443
2018-04-17,45759.38633
2018-04-18,45745.66957
2018-04-19,45809.41998
2018-04-20,45915.07998
2018-04-23,45934.33314
2018-04-24,45879.66464
2018-04-25,45839.57241
2018-04-26,45849.21599
2018-04-27,45937.28794
2018-04-30,46025.80151
2018-05-02,46010.76235
2018-05-03,45951.85695
2018-05-04,45926.5987
2018-05-08,45962.7603
2018-05-09,46064.57027
2018-05-10,46124.08166
2018-05-11,46081.52535
2018-05-14,46027.80241
2018-05-15,46022.08547
2018-05-16,46084.29097
2018-05-17,46186.17185
2018-05-18,46210.14701
2018-05-21,46150.41864
2018-05-23,46109.67823
2018-05-24,46126.77805
2018-05-25,46210.259
2018-05-28,46297.97196
2018-05-29,46286.1395
2018-05-30,46221.08067
2018-05-31,46199.09657
2018-06-01,46240.21992
2018-06-04,46336.11806
2018-06-05,46397.57183
2018-06-07,46355.59737
2018-06-08,46296.59534
2018-06-11,46296.99244
2018-06-12,46360.59463
2018-06-14,46457.11261
2018-06-15,46484.66784
2018-06-18,46422.74709
2018-06-19,46379.24132
2018-06-20,46403.47105
2018-06-21,46484.81779
2018-06-22,46569.15927
2018-06-25,46561.02341
2018-06-26,46491.79973
2018-06-27,46470.38545
2018-06-28,46517.66553
2018-06-29,46608.90645
2018-07-02,46669.6095
2018-07-03,46630.05125
2018-07-04,46566.35451
2018-07-05,46570.45521
2018-07-06,46637.67316
2018-07-09,46728.59615
2018-07-10,46757.74837
2018-07-11,46696.14229
2018-07-12,46648.9976
2018-07-13,46678.95086
2018-07-16,46760.63426
2018-07-17,46840.07816
2018-07-18,46834.91159
2018-07-19,46763.88556
2018-07-20,46741.10711
2018-07-23,46794.48454
2018-07-24,46883.00921
2018-07-25,46940.71527
2018-07-26,46904.21839
2018-07-27,46837.34064
2018-07-30,46842.834
2018-07-31,46914.85352
2018-08-01,47001.03897
2018-08-02,47029.5686
2018-08-03,46969.98516
2018-08-06,46919.48301
2018-08-07,46953.21125
2018-08-08,47037.18828
2018-08-09,47111.33445
2018-08-10,47107.62042
2018-08-13,47036.95489
2018-08-14,47011.88502
2018-08-16,47070.33572
2018-08-17,47158.2023
2018-08-20,47211.48061
2018-08-21,47177.63762
2018-08-22,47109.50316
2018-08-23,47114.64289
2018-08-24,47191.59419
2018-08-27,47274.55799
2018-08-28,47300.52753
2018-08-29,47243.70209
2018-08-30,47190.96604
2018-08-31,47226.50788
2018-09-03,47313.91907
2018-09-04,47383.3198
2018-09-05,47379.25064
2018-09-06,47310.50703
2018-09-07,47283.19823
2018-09-10,47345.16144
2018-09-11,47434.07957
2018-09-12,47482.42925
2018-09-13,47450.10624
2018-09-14,47382.5605
2018-09-17,47386.40621
2018-09-18,47467.5678
2018-09-19,47549.01191
2018-09-20,47571.10959
2018-09-21,47516.87544
2018-09-27,47463.45216
2018-09-28,47499.24688
2018-10-01,47590.35302
2018-10-02,47656.1783
2018-10-04,47650.10259
2018-10-05,47584.05503
2018-10-08,47555.31246
2018-10-10,47619.13517
2018-10-11,47710.17814
2018-10-12,47753.92226
2018-10-15,47721.66498
2018-10-16,47656.11166
2018-10-17,47658.54675
2018-10-18,47742.6822
2018-10-19,47824.08893
2018-10-22,47841.76371
2018-10-23,47789.29592
2018-10-24,47736.7412
2018-10-25,47771.86522
2018-10-26,47866.18317
2018-10-29,47929.83168
2018-10-30,47920.56872
2018-10-31,47857.22539
2018-11-01,47828.27251
2018-11-02,47892.5733
2018-11-05,47986.08824
2018-11-06,48026.11857
2018-11-07,47992.53465
2018-11-08,47929.74701
2018-11-09,47931.31949
2018-11-12,48017.0468
2018-11-13,48099.41058
2018-11-14,48112.81735
2018-11-15,48060.96022
2018-11-16,48010.51584
2018-11-19,48044.73203
2018-11-20,48141.2961
2018-11-21,48204.04549
2018-11-22,48191.03046
2018-11-23,48129.81093
2018-11-26,48101.94237
2018-11-27,48165.83652
2018-11-28,48261.52737
2018-11-29,48298.98717
2018-11-30,48263.02965
2018-12-03,48203.13646
2018-12-04,48204.79566
2018-12-05,48290.90417
2018-12-06,48374.62592
2018-12-07,48384.43492
2018-12-10,48332.02552
2018-12-11,48284.43448
2018-12-12,48318.08627
2018-12-13,48415.75222
2018-12-14,48478.51349
2018-12-17,48461.78075
2018-12-18,48401.77719
2018-12-19,48376.0743
2018-12-20,48439.24392
2018-12-21,48536.37082
2018-12-24,48572.3562
2018-12-26,48533.47105
2018-12-27,48476.08095
2018-12-28,48478.88904
2019-01-02,48564.54916
2019-01-03,48649.47906
2019-01-04,48656.61998
2019-01-07,48602.74061
2019-01-08,48558.20847
2019-01-09,48592.01559
2019-01-10,48689.73396
2019-01-11,48752.93798
2019-01-14,48732.98255
2019-01-15,48673.23099
2019-01-16,48650.38595
2019-01-17,48713.01529
2019-01-18,48810.64242
2019-01-21,48845.98071
2019-01-22,48804.11782
2019-01-23,48748.52497
2019-01-24,48753.40926
2019-01-25,48838.25503
2019-01-28,48923.84148
2019-01-29,48929.25069
2019-01-30,48873.37325
2019-01-31,48831.65089
2019-02-01,48866.4718
2019-02-07,48963.4799
2019-02-08,49027.0904
2019-02-11,49004.66386
2019-02-12,48944.36642
2019-02-13,48924.6274
2019-02-14,48987.24705
2019-02-15,49084.47607
2019-02-18,49119.61051
2019-02-19,49075.12653
2019-02-20,49020.53604
2019-02-21,49028.12511
2019-02-22,49112.22084
2019-02-25,49197.71037
2019-02-26,49202.13361
2019-02-27,49144.1498
2019-02-28,49104.693
2019-03-04,49141.31139
2019-03-05,49237.222
2019-03-06,49300.84379
2019-03-07,49276.74229
2019-03-08,49215.40462
2019-03-11,49198.62633
2019-03-12,49261.91959
2019-03-13,49358.0628
2019-03-14,49393.04396
2019-03-15,49346.54158
2019-03-18,49292.26305
2019-03-19,49302.8222
2019-03-20,49386.54612
2019-03-21,49471.18095
2019-03-22,49475.06045
2019-03-25,49415.21717
2019-03-26,49377.37218
2019-03-27,49416.34692
2019-03-28,49511.13819
2019-03-29,49574.17667
2019-04-01,49549.06723
2019-04-02,49486.54141
2019-04-03,49472.30678
2019-04-04,49536.92727
2019-04-05,49631.59777
2019-04-08,49666.15945
2019-04-09,49618.31121
2019-04-10,49563.8868
2019-04-11,49577.3441
2019-04-12,49661.23221
2019-04-15,49744.40444
2019-04-16,49747.85528
2019-04-17,49686.62987
2019-04-18,49649.80031
2019-04-19,49691.39614
2019-04-22,49785.32705
2019-04-23,49847.15382
2019-04-24,49821.46691
2019-04-25,49757.91193
2019-04-26,49745.68342
2019-04-29,49812.11981
2019-04-30,49905.23827
2019-05-02,49938.92299
2019-05-03,49890.32008
2019-05-07,49835.57492
2019-05-08,49851.61214
2019-05-09,49936.20381
2019-05-10,50017.54364
2019-05-13,50020.40426
2019-05-14,49958.3595
2019-05-15,49922.12356
2019-05-16,49966.31896
2019-05-17,50059.80477
2019-05-20,50119.89337
2019-05-21,50093.78939
2019-05-22,50029.57604
2019-05-23,50018.83817
2019-05-24,50087.34367
2019-05-27,50179.07905
2019-05-28,50211.37578
2019-05-29,50162.4279
2019-05-30,50107.44976
2019-05-31,50125.62439
2019-06-03,50211.3419
2019-06-04,50290.73617
2019-06-05,50292.66575
2019-06-07,50230.31943
2019-06-10,50194.48407
2019-06-11,50241.03731
2019-06-12,50334.52011
2019-06-13,50392.53002
2019-06-14,50365.93005
2019-06-17,50301.52273
2019-06-18,50291.88781
2019-06-19,50362.47495
2019-06-20,50453.14642
2019-06-21,50483.60872
2019-06-24,50434.50462
2019-06-25,50379.57288
2019-06-26,50399.43874
2019-06-27,50486.51839
2019-06-28,50564.07109
2019-07-01,50564.66289
2019-07-02,50502.39617
2019-07-03,50466.99098
2019-07-04,50515.53751
